id,name,parentId,level,hasDescription,kind
011212100000,PODREGION MIASTO KRAKÓW,011210000000,4,False,
011212161000,Powiat m. Kraków,011212100000,5,False,2
011212161011,Kraków,011212161000,6,False,1
011212200000,PODREGION NOWOSĄDECKI,011210000000,4,False,
011212205000,Powiat gorlicki,011212200000,5,False,1
011212205011,Gorlice,011212205000,6,False,1
011212205023,Biecz,011212205000,6,False,3
011212205024,Biecz - miasto,011212205023,6,False,4
011212205025,Biecz - obszar wiejski,011212205023,6,False,5
011212205032,Bobowa,011212205000,6,True,2
011212205033,Bobowa,011212205000,6,True,3
011212205034,Bobowa - miasto,011212205033,6,True,4
011212205035,Bobowa - obszar wiejski,011212205033,6,True,5
011212205042,Gorlice,011212205000,6,False,2
011212205052,Lipinki,011212205000,6,False,2
011212205062,Łużna,011212205000,6,False,2
011212205072,Moszczenica,011212205000,6,False,2
011212205082,Ropa,011212205000,6,False,2
011212205092,Sękowa,011212205000,6,False,2
011212205102,Uście Gorlickie,011212205000,6,False,2
011212207000,Powiat limanowski,011212200000,5,False,1
011212207011,Limanowa,011212207000,6,False,1
011212207021,Mszana Dolna,011212207000,6,False,1
011212207032,Dobra,011212207000,6,False,2
011212207042,Jodłownik,011212207000,6,False,2
011212207052,Kamienica,011212207000,6,True,2
011212207062,Laskowa,011212207000,6,False,2
011212207072,Limanowa,011212207000,6,False,2
011212207082,Łukowica,011212207000,6,False,2
011212207092,Mszana Dolna,011212207000,6,False,2
011212207102,Niedźwiedź,011212207000,6,False,2
011212207112,Słopnice,011212207000,6,True,2
011212207122,Tymbark,011212207000,6,False,2
011212207132,Szczawa,011212207000,6,True,2
011212210000,Powiat nowosądecki,011212200000,5,False,1
011212210001,Miejska strefa usług publicznych,011212210000,6,False,1
011212210011,Grybów,011212210000,6,False,1
011212210022,Chełmiec,011212210000,6,True,2
011212210032,Gródek nad Dunajcem,011212210000,6,False,2
011212210042,Grybów,011212210000,6,False,2
011212210052,Kamionka Wielka,011212210000,6,False,2
011212210062,Korzenna,011212210000,6,False,2
011212210073,Krynica-Zdrój,011212210000,6,True,3
011212210074,Krynica-Zdrój - miasto,011212210073,6,True,4
011212210075,Krynica-Zdrój - obszar wiejski,011212210073,6,True,5
011212210082,Łabowa,011212210000,6,False,2
011212210092,Łącko,011212210000,6,False,2
011212210102,Łososina Dolna,011212210000,6,False,2
011212210113,Muszyna,011212210000,6,False,3
011212210114,Muszyna - miasto,011212210113,6,False,4
011212210115,Muszyna - obszar wiejski,011212210113,6,False,5
011212210122,Nawojowa,011212210000,6,False,2
011212210133,Piwniczna-Zdrój,011212210000,6,True,3
011212210134,Piwniczna-Zdrój - miasto,011212210133,6,True,4
011212210135,Piwniczna-Zdrój - obszar wiejski,011212210133,6,True,5
011212210142,Podegrodzie,011212210000,6,False,2
011212210152,Rytro,011212210000,6,False,2
011212210163,Stary Sącz,011212210000,6,False,3
011212210164,Stary Sącz - miasto,011212210163,6,False,4
011212210165,Stary Sącz - obszar wiejski,011212210163,6,False,5
011212262000,Powiat m. Nowy Sącz,011212200000,5,False,2
011212262011,Nowy Sącz,011212262000,6,False,1
011212300000,PODREGION OŚWIĘCIMSKI,011210000000,4,False,
011212303000,Powiat chrzanowski,011212300000,5,False,1
011212303013,Alwernia,011212303000,6,False,3
011212303014,Alwernia - miasto,011212303013,6,False,4
011212303015,Alwernia - obszar wiejski,011212303013,6,False,5
011212303022,Babice,011212303000,6,False,2
011212303033,Chrzanów,011212303000,6,False,3
011212303034,Chrzanów - miasto,011212303033,6,False,4
011212303035,Chrzanów - obszar wiejski,011212303033,6,False,5
011212303043,Libiąż,011212303000,6,False,3
011212303044,Libiąż - miasto,011212303043,6,False,4
011212303045,Libiąż - obszar wiejski,011212303043,6,False,5
011212303053,Trzebinia,011212303000,6,False,3
011212303054,Trzebinia - miasto,011212303053,6,False,4
011212303055,Trzebinia - obszar wiejski,011212303053,6,False,5
011212312000,Powiat olkuski,011212300000,5,True,1
011212312011,Bukowno,011212312000,6,False,1
011212312021,Sławków,011212312000,6,True,1
011212312032,Bolesław,011212312000,6,False,2
011212312042,Klucze,011212312000,6,False,2
011212312053,Olkusz,011212312000,6,False,3
011212312054,Olkusz - miasto,011212312053,6,False,4
011212312055,Olkusz - obszar wiejski,011212312053,6,False,5
011212312062,Trzyciąż,011212312000,6,False,2
011212312073,Wolbrom,011212312000,6,False,3
011212312074,Wolbrom - miasto,011212312073,6,False,4
011212312075,Wolbrom - obszar wiejski,011212312073,6,False,5
011212313000,Powiat oświęcimski,011212300000,5,False,1
011212313011,Oświęcim,011212313000,6,False,1
011212313023,Brzeszcze,011212313000,6,False,3
011212313024,Brzeszcze - miasto,011212313023,6,False,4
011212313025,Brzeszcze - obszar wiejski,011212313023,6,False,5
011212313033,Chełmek,011212313000,6,False,3
011212313034,Chełmek - miasto,011212313033,6,False,4
011212313035,Chełmek - obszar wiejski,011212313033,6,False,5
